"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion","Zone","n_bin"
"ERR1879883.ERS489024","ERS489024","SGRP253414","aquatic","AMPLICON",15.0776,17.4857,NA,285,570,15,17.4857,"Tropics_Subtropics","tropical",11
"ERR1879838.ERS489024","ERS489024","SGRP253414","aquatic","AMPLICON",15.0776,17.4857,NA,285,703,15,17.4857,"Tropics_Subtropics","tropical",11
"ERR1879805.ERS489024","ERS489024","SGRP253414","aquatic","AMPLICON",15.0776,17.4857,NA,285,533,15,17.4857,"Tropics_Subtropics","tropical",11
"ERR1879665.ERS489024","ERS489024","SGRP253414","aquatic","AMPLICON",15.0776,17.4857,NA,285,1018,15,17.4857,"Tropics_Subtropics","tropical",11
"SRR2147711.SRS1024446","SRS1024446","SGRP6905","aquatic","AMPLICON",15.14,-13.000722,8.19,0.45,406,15,13.000722,"Tropics_Subtropics","tropical",11
"DRR160962.DRS080630","DRS080630","SGRP44102","aquatic","AMPLICON",15.315,26.654,NA,269.8,478,15,26.654,"Tropics_Subtropics","tropical",11
"ERR1772224.ERS1490085","ERS1490085","SGRP3194","aquatic","AMPLICON",16.2142857142857,9.354444,7.73716666666667,3.90909090909091,1549,16,9.354444,"Tropics_Subtropics","tropical",3
"SRR3145917.SRS1276302","SRS1276302","SGRP3194","aquatic","AMPLICON",16.2142857142857,12.07,7.73716666666667,3.90909090909091,245,16,12.07,"Tropics_Subtropics","tropical",3
"ERR1772226.ERS1490087","ERS1490087","SGRP3194","aquatic","AMPLICON",16.2142857142857,9.353333,7.73716666666667,3.90909090909091,1280,16,9.353333,"Tropics_Subtropics","tropical",3
"SRR5251699.SRS1974804","SRS1974804","SGRP215297","aquatic","AMPLICON",17,22.19,NA,NA,730,17,22.19,"Tropics_Subtropics","tropical",3
"SRR5251759.SRS1974816","SRS1974816","SGRP215297","aquatic","AMPLICON",17,22.19,NA,NA,693,17,22.19,"Tropics_Subtropics","tropical",3
"SRR5252274.SRS1975374","SRS1975374","SGRP215297","aquatic","AMPLICON",17,22.79,NA,NA,719,17,22.79,"Tropics_Subtropics","tropical",3
"ERR1773423.ERS1490952","ERS1490952","SGRP332719","aquatic","AMPLICON",17.9888888888889,12.120967,NA,15.0643137254902,1562,18,12.120967,"Tropics_Subtropics","tropical",6
"ERR1879780.ERS491570","ERS491570","SGRP231805","aquatic","AMPLICON",18.2006533333333,-29.6267,NA,161.666666666667,1656,18,29.6267,"Tropics_Subtropics","tropical",6
"ERR1879789.ERS491670","ERS491670","SGRP231805","aquatic","AMPLICON",18.2006533333333,-28.2203,NA,161.666666666667,1289,18,28.2203,"Tropics_Subtropics","tropical",6
"ERR1756212.ERS491572","ERS491572","SGRP231805","aquatic","AMPLICON",18.2006533333333,-29.6267,NA,161.666666666667,1992,18,29.6267,"Tropics_Subtropics","tropical",6
"ERR1879902.ERS491670","ERS491670","SGRP231805","aquatic","AMPLICON",18.2006533333333,-28.2203,NA,161.666666666667,1751,18,28.2203,"Tropics_Subtropics","tropical",6
"ERR1756229.ERS491572","ERS491572","SGRP231805","aquatic","AMPLICON",18.2006533333333,-29.6267,NA,161.666666666667,1278,18,29.6267,"Tropics_Subtropics","tropical",6
"ERR1879719.ERS489002","ERS489002","SGRP231776","aquatic","AMPLICON",19.0016936875,17.4855,NA,41.6875,2187,19,17.4855,"Tropics_Subtropics","tropical",1
"ERR1774937.ERS1492829","ERS1492829","SGRP332795","aquatic","AMPLICON",20,24.957076,NA,3.66666666666667,832,20,24.957076,"Tropics_Subtropics","tropical",7
"ERR1774939.ERS1492831","ERS1492831","SGRP332795","aquatic","AMPLICON",20,24.957076,NA,3.66666666666667,778,20,24.957076,"Tropics_Subtropics","tropical",7
"SRR3295210.SRS1361765","SRS1361765","SGRP72151","aquatic;river","AMPLICON",20,10.198333,7.72333333333333,NA,767,20,10.198333,"Tropics_Subtropics","tropical",7
"SRR3295206.SRS1361763","SRS1361763","SGRP72151","aquatic;river","AMPLICON",20,1.818333,7.72333333333333,NA,2516,20,1.818333,"Tropics_Subtropics","tropical",7
"SRR3295209.SRS1361765","SRS1361765","SGRP72151","aquatic;river","AMPLICON",20,10.198333,7.72333333333333,NA,931,20,10.198333,"Tropics_Subtropics","tropical",7
"SRR3295208.SRS1361763","SRS1361763","SGRP72151","aquatic;river","AMPLICON",20,1.818333,7.72333333333333,NA,1111,20,1.818333,"Tropics_Subtropics","tropical",7
"SRR3295207.SRS1361763","SRS1361763","SGRP72151","aquatic;river","AMPLICON",20,1.818333,7.72333333333333,NA,1423,20,1.818333,"Tropics_Subtropics","tropical",7
"SRR5711519.SRS2294844","SRS2294844","SGRP106860","aquatic","AMPLICON",20.6,22.336,NA,NA,1155,21,22.336,"Tropics_Subtropics","tropical",3
"SRR3925013.SRS1565709","SRS1565709","SGRP2695","aquatic","AMPLICON",20.6944583333333,24.294,7.19769230769231,0.134285714285714,1323,21,24.294,"Tropics_Subtropics","tropical",3
"SRR5281921.SRS1999285","SRS1999285","SGRP2695","aquatic","AMPLICON",20.6944583333333,21.290551,7.19769230769231,0.134285714285714,1132,21,21.290551,"Tropics_Subtropics","tropical",3
