"SampleID","ComClustID","Env_cons","Temperature_C_mean","Richness","Temp_bin"
"SRR3820966.SRS1551694","SGRP289595","aquatic",0.401,282,0
"SRR3821224.SRS1551854","SGRP289595","aquatic",0.401,496,0
"SRR3821115.SRS1551731","SGRP289595","aquatic",0.401,322,0
"SRR3821632.SRS1552072","SGRP289595","aquatic",0.401,636,0
"SRR3821044.SRS1551767","SGRP289595","aquatic",0.401,445,0
"SRR3821081.SRS1551782","SGRP289595","aquatic",0.401,494,0
"SRR3820989.SRS1551714","SGRP289595","aquatic",0.401,358,0
"SRR3821206.SRS1551840","SGRP289595","aquatic",0.401,608,0
"SRR3820977.SRS1551690","SGRP289595","aquatic",0.401,337,0
"SRR3821056.SRS1551752","SGRP289595","aquatic",0.401,425,0
"SRR3821055.SRS1551775","SGRP289595","aquatic",0.401,451,0
"SRR3821091.SRS1551733","SGRP289595","aquatic",0.401,472,0
"SRR3821584.SRS1551689","SGRP289595","aquatic",0.401,490,0
"SRR3821123.SRS1551734","SGRP289595","aquatic",0.401,431,0
"SRR3821538.SRS1552015","SGRP289595","aquatic",0.401,456,0
"SRR1946722.SRS888314","SGRP289595","aquatic",0.401,434,0
"SRR3821346.SRS1551944","SGRP289595","aquatic",0.401,546,0
"SRR3821113.SRS1551732","SGRP289595","aquatic",0.401,426,0
"SRR3821386.SRS1551690","SGRP289595","aquatic",0.401,456,0
"SRR3821069.SRS1551746","SGRP289595","aquatic",0.401,523,0
"SRR3821683.SRS1552079","SGRP289595","aquatic",0.401,691,0
"SRR3821071.SRS1551745","SGRP289595","aquatic",0.401,542,0
"SRR3821667.SRS1552012","SGRP289595","aquatic",0.401,592,0
"SRR3821280.SRS1551891","SGRP289595","aquatic",0.401,433,0
"SRR3821398.SRS1551974","SGRP289595","aquatic",0.401,424,0
"SRR3821633.SRS1552067","SGRP289595","aquatic",0.401,677,0
"SRR3821197.SRS1551831","SGRP289595","aquatic",0.401,658,0
"SRR3821276.SRS1551888","SGRP289595","aquatic",0.401,332,0
"SRR3821248.SRS1551873","SGRP289595","aquatic",0.401,347,0
"SRR3821144.SRS1551791","SGRP289595","aquatic",0.401,490,0
"SRR3821256.SRS1551880","SGRP289595","aquatic",0.401,357,0
"SRR3821136.SRS1551809","SGRP289595","aquatic",0.401,617,0
"SRR4269891.SRS1704134","SGRP289595","aquatic",0.401,493,0
"SRR3821145.SRS1551796","SGRP289595","aquatic",0.401,476,0
"SRR4269892.SRS1704134","SGRP289595","aquatic",0.401,597,0
