"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion","Zone","n_bin"
"SRR3607779.SRS1254264","SRS1254264","SGRP402865","soil;forest","AMPLICON",13,35,4.84166666666667,NA,741,13,35,"Temperate","temperate",3
"SRR3607778.SRS1254263","SRS1254263","SGRP402865","soil;forest","AMPLICON",13,35,4.84166666666667,NA,720,13,35,"Temperate","temperate",3
"SRR5287996.SRS2003130","SRS2003130","SGRP21243","soil","AMPLICON",14,52.9,NA,0.00666666666666667,299,14,52.9,"Temperate","temperate",3
"SRR6310056.SRS2703521","SRS2703521","SGRP21243","soil","AMPLICON",14,37.416483,NA,0.00666666666666667,459,14,37.416483,"Temperate","temperate",3
"SRR5287988.SRS2003122","SRS2003122","SGRP21243","soil","AMPLICON",14,52.9,NA,0.00666666666666667,307,14,52.9,"Temperate","temperate",3
"SRR3742475.SRS1539708","SRS1539708","SGRP332950","soil;field","AMPLICON",15.2909090909091,46.38,4.84644444444444,NA,1180,15,46.38,"Temperate","temperate",3
"SRR3742386.SRS1539621","SRS1539621","SGRP332950","soil;field","AMPLICON",15.2909090909091,46.29,4.84644444444444,NA,877,15,46.29,"Temperate","temperate",3
"SRR3742399.SRS1539633","SRS1539633","SGRP332950","soil;field","AMPLICON",15.2909090909091,46.26,4.84644444444444,NA,1437,15,46.26,"Temperate","temperate",3
"SRR3305960.SRS1365356","SRS1365356","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2275,16,42.453135,"Temperate","temperate",20
"SRR3305938.SRS1365332","SRS1365332","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2013,16,42.453135,"Temperate","temperate",20
"SRR3305931.SRS1365339","SRS1365339","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1977,16,42.453135,"Temperate","temperate",20
"SRR3305937.SRS1365333","SRS1365333","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2159,16,42.453135,"Temperate","temperate",20
"SRR3305924.SRS1365331","SRS1365331","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2077,16,42.453135,"Temperate","temperate",20
"SRR3305936.SRS1365334","SRS1365334","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2094,16,42.453135,"Temperate","temperate",20
"SRR3305954.SRS1365362","SRS1365362","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2289,16,42.453135,"Temperate","temperate",20
"SRR3305944.SRS1365341","SRS1365341","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1993,16,42.453135,"Temperate","temperate",20
"SRR3305928.SRS1365327","SRS1365327","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2130,16,42.453135,"Temperate","temperate",20
"SRR3305870.SRS1365267","SRS1365267","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1955,16,42.453135,"Temperate","temperate",20
"SRR3305972.SRS1365374","SRS1365374","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2274,16,42.453135,"Temperate","temperate",20
"SRR3305957.SRS1365359","SRS1365359","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2060,16,42.453135,"Temperate","temperate",20
"SRR3305927.SRS1365328","SRS1365328","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2186,16,42.453135,"Temperate","temperate",20
"SRR3305956.SRS1365360","SRS1365360","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,1940,16,42.453135,"Temperate","temperate",20
"SRR3305942.SRS1365343","SRS1365343","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2076,16,42.453135,"Temperate","temperate",20
"SRR3305953.SRS1365348","SRS1365348","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2212,16,42.453135,"Temperate","temperate",20
"SRR3305951.SRS1365349","SRS1365349","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2271,16,42.453135,"Temperate","temperate",20
"SRR3305930.SRS1365325","SRS1365325","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2135,16,42.453135,"Temperate","temperate",20
"SRR3305952.SRS1365347","SRS1365347","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2331,16,42.453135,"Temperate","temperate",20
"SRR3305912.SRS1365314","SRS1365314","SGRP355718","soil;field","AMPLICON",15.8774696542802,42.453135,NA,0.0299999999999999,2010,16,42.453135,"Temperate","temperate",20
"SRR3742377.SRS1539612","SRS1539612","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.29,5.8503,NA,1657,17,46.29,"Temperate","temperate",4
"SRR3742469.SRS1539702","SRS1539702","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.43,5.8503,NA,1461,17,46.43,"Temperate","temperate",4
"SRR3742425.SRS1539658","SRS1539658","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.26,5.8503,NA,1331,17,46.26,"Temperate","temperate",4
"SRR3742456.SRS1539688","SRS1539688","SGRP332952","soil;field","AMPLICON",17.4518518518519,46.52,5.8503,NA,1493,17,46.52,"Temperate","temperate",4
"SRR3742421.SRS1539654","SRS1539654","SGRP333055","soil;field","AMPLICON",18.4857142857143,46.37,7.21007142857143,NA,1404,18,46.37,"Temperate","temperate",4
"SRR3742429.SRS1539662","SRS1539662","SGRP333055","soil;field","AMPLICON",18.4857142857143,46.49,7.21007142857143,NA,1600,18,46.49,"Temperate","temperate",4
"SRR3742465.SRS1539699","SRS1539699","SGRP333055","soil;field","AMPLICON",18.4857142857143,46.53,7.21007142857143,NA,1537,18,46.53,"Temperate","temperate",4
"SRR3742468.SRS1539701","SRS1539701","SGRP333055","soil;field","AMPLICON",18.4857142857143,46.54,7.21007142857143,NA,1383,18,46.54,"Temperate","temperate",4
"SRR3179424.SRS1300897","SRS1300897","SGRP2148","soil","AMPLICON",19.4444444444444,43.16583,NA,0.01,54,19,43.16583,"Temperate","temperate",2
"SRR3179426.SRS1300895","SRS1300895","SGRP2148","soil","AMPLICON",19.4444444444444,43.16583,NA,0.01,43,19,43.16583,"Temperate","temperate",2
"SRR6370986.SRS2754083","SRS2754083","SGRP1065","soil","AMPLICON",20,-37.47,6.018,1.1062962962963,124,20,37.47,"Temperate","temperate",29
"SRR6370904.SRS2754164","SRS2754164","SGRP1065","soil","AMPLICON",20,-37.47,6.018,1.1062962962963,112,20,37.47,"Temperate","temperate",29
"SRR7083182.SRS3234495","SRS3234495","SGRP1065","soil","AMPLICON",20,-40.65,6.018,1.1062962962963,109,20,40.65,"Temperate","temperate",29
"SRR6370978.SRS2754090","SRS2754090","SGRP1065","soil","AMPLICON",20,-37.47,6.018,1.1062962962963,122,20,37.47,"Temperate","temperate",29
"SRR1740336.SRS807558","SRS807558","SGRP117044","soil","AMPLICON",20,-36.91,NA,0,228,20,36.91,"Temperate","temperate",29
"SRR8479521.SRS4284120","SRS4284120","SGRP2163","soil","AMPLICON",20,38.869,7.2,0.0192857142857143,108,20,38.869,"Temperate","temperate",29
"ERR338455.ERS345871","ERS345871","SGRP266166","soil;field","AMPLICON",20,46.4202527777778,6.6,0.1,169,20,46.4202527777778,"Temperate","temperate",29
"ERR338454.ERS345870","ERS345870","SGRP266166","soil;field","AMPLICON",20,46.4202527777778,6.6,0.1,314,20,46.4202527777778,"Temperate","temperate",29
"ERR338456.ERS345872","ERS345872","SGRP266166","soil;field","AMPLICON",20,46.4202527777778,6.6,0.1,182,20,46.4202527777778,"Temperate","temperate",29
"ERR338453.ERS345869","ERS345869","SGRP266166","soil;field","AMPLICON",20,46.4202527777778,6.6,0.1,257,20,46.4202527777778,"Temperate","temperate",29
"ERR338457.ERS345873","ERS345873","SGRP266166","soil;field","AMPLICON",20,46.4202527777778,6.6,0.1,203,20,46.4202527777778,"Temperate","temperate",29
"ERR338452.ERS345868","ERS345868","SGRP266166","soil;field","AMPLICON",20,46.4202527777778,6.6,0.1,230,20,46.4202527777778,"Temperate","temperate",29
"SRR10024689.SRS5310369","SRS5310369","SGRP64827","soil","AMPLICON",20,45.2,5.25391666666667,0.15,124,20,45.2,"Temperate","temperate",29
"SRR10024740.SRS5310318","SRS5310318","SGRP64827","soil","AMPLICON",20,45.2,5.25391666666667,0.15,116,20,45.2,"Temperate","temperate",29
"SRR10024717.SRS5310341","SRS5310341","SGRP64827","soil","AMPLICON",20,45.2,5.25391666666667,0.15,124,20,45.2,"Temperate","temperate",29
"SRR10024715.SRS5310343","SRS5310343","SGRP64827","soil","AMPLICON",20,45.2,5.25391666666667,0.15,137,20,45.2,"Temperate","temperate",29
"SRR10024745.SRS5310313","SRS5310313","SGRP64827","soil","AMPLICON",20,45.2,5.25391666666667,0.15,108,20,45.2,"Temperate","temperate",29
"ERR3461559.ERS3606738","ERS3606738","SGRP2099","soil","AMPLICON",20.3125,33.4548056,6.96923076923077,0.0439583333333333,121,20,33.4548056,"Temperate","temperate",29
"SRR8479556.SRS4284084","SRS4284084","SGRP2099","soil","AMPLICON",20.3125,38.869,6.96923076923077,0.0439583333333333,131,20,38.869,"Temperate","temperate",29
"SRR6145144.SRS2570922","SRS2570922","SGRP2099","soil","AMPLICON",20.3125,31.048,6.96923076923077,0.0439583333333333,123,20,31.048,"Temperate","temperate",29
"SRR8479491.SRS4284149","SRS4284149","SGRP2099","soil","AMPLICON",20.3125,38.872,6.96923076923077,0.0439583333333333,140,20,38.872,"Temperate","temperate",29
"SRR6145226.SRS2570922","SRS2570922","SGRP2099","soil","AMPLICON",20.3125,31.048,6.96923076923077,0.0439583333333333,138,20,31.048,"Temperate","temperate",29
"SRR8479533.SRS4284107","SRS4284107","SGRP2099","soil","AMPLICON",20.3125,38.872,6.96923076923077,0.0439583333333333,122,20,38.872,"Temperate","temperate",29
"SRR8479517.SRS4284123","SRS4284123","SGRP2099","soil","AMPLICON",20.3125,38.871,6.96923076923077,0.0439583333333333,126,20,38.871,"Temperate","temperate",29
"SRR8479539.SRS4284101","SRS4284101","SGRP2099","soil","AMPLICON",20.3125,38.871,6.96923076923077,0.0439583333333333,122,20,38.871,"Temperate","temperate",29
