"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","AbsLatitude","LatRegion"
"ERR2372906.ERS2269409","ERS2269409","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,452,2,NA,"Unknown"
"ERR2372853.ERS2269438","ERS2269438","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,461,2,NA,"Unknown"
"ERR2372948.ERS2269326","ERS2269326","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,480,2,NA,"Unknown"
"ERR2372819.ERS2269351","ERS2269351","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,487,2,NA,"Unknown"
"ERR2372815.ERS2269358","ERS2269358","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,526,2,NA,"Unknown"
"ERR2372973.ERS2269419","ERS2269419","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,519,2,NA,"Unknown"
"ERR2372885.ERS2269385","ERS2269385","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,468,2,NA,"Unknown"
"ERR2372898.ERS2269384","ERS2269384","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,454,2,NA,"Unknown"
"ERR2372826.ERS2269437","ERS2269437","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,451,2,NA,"Unknown"
"ERR2372922.ERS2269424","ERS2269424","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,466,2,NA,"Unknown"
"ERR2372870.ERS2269353","ERS2269353","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,482,2,NA,"Unknown"
"ERR2372864.ERS2269352","ERS2269352","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,492,2,NA,"Unknown"
"ERR2372872.ERS2269367","ERS2269367","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,476,2,NA,"Unknown"
"ERR2372896.ERS2269374","ERS2269374","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,492,2,NA,"Unknown"
"ERR2372900.ERS2269341","ERS2269341","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,458,2,NA,"Unknown"
"ERR2372963.ERS2269313","ERS2269313","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,466,2,NA,"Unknown"
"ERR2372817.ERS2269350","ERS2269350","SGRP112857","soil;tundra","AMPLICON",1.83666666666667,NA,5.46373333333333,28.8333333333333,467,2,NA,"Unknown"
"SRR10965125.SRS6061860","SRS6061860","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,56.7682,9.925,0,517,2,56.7682,"Temperate"
"SRR10965106.SRS6061879","SRS6061879","SGRP2696","aquatic;lake","AMPLICON",1.93333333333333,56.94399,9.925,0,472,2,56.94399,"Temperate"
"SRR10954038.SRS6052916","SRS6052916","SGRP1216","aquatic;lake","AMPLICON",1.99333333333333,36.5975,7.67411764705882,5.71428571428571,576,2,36.5975,"Temperate"
"ERR2242560.ERS2085435","ERS2085435","SGRP215973","aquatic","AMPLICON",2,77.7938,NA,1,582,2,77.7938,"Polar_Subpolar"
"ERR2242561.ERS2085436","ERS2085436","SGRP215973","aquatic","AMPLICON",2,77.7938,NA,1,638,2,77.7938,"Polar_Subpolar"
"ERR2242567.ERS2085442","ERS2085442","SGRP215973","aquatic","AMPLICON",2,63.4468,NA,1,483,2,63.4468,"Polar_Subpolar"
"ERR2242566.ERS2085441","ERS2085441","SGRP215973","aquatic","AMPLICON",2,63.4468,NA,1,654,2,63.4468,"Polar_Subpolar"
"ERR2242562.ERS2085437","ERS2085437","SGRP215973","aquatic","AMPLICON",2,77.7938,NA,1,548,2,77.7938,"Polar_Subpolar"
"SRR7642629.SRS3626426","SRS3626426","SGRP10405","aquatic","AMPLICON",2.1875,39.86336,NA,0.833333333333333,454,2,39.86336,"Temperate"
"SRR3143733.SRS1274515","SRS1274515","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,564,2,55.028389,"Temperate"
"SRR3143732.SRS1274516","SRS1274516","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,587,2,55.028389,"Temperate"
"SRR3143781.SRS1274561","SRS1274561","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,533,2,55.028389,"Temperate"
"SRR3143737.SRS1274511","SRS1274511","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,479,2,55.028389,"Temperate"
"SRR3143724.SRS1274509","SRS1274509","SGRP131518","aquatic","AMPLICON",2.43243243243243,55.028389,NA,NA,495,2,55.028389,"Temperate"
"SRR3500033.SRS1434342","SRS1434342","SGRP352451","aquatic","AMPLICON",2.5,54.454153,NA,NA,455,2,54.454153,"Temperate"
"SRR3500006.SRS1434729","SRS1434729","SGRP352451","aquatic","AMPLICON",2.5,54.454153,NA,NA,455,2,54.454153,"Temperate"
"SRR3500030.SRS1434339","SRS1434339","SGRP352451","aquatic","AMPLICON",2.5,54.454153,NA,NA,480,2,54.454153,"Temperate"
"SRR3500009.SRS1434670","SRS1434670","SGRP352451","aquatic","AMPLICON",2.5,54.454153,NA,NA,493,2,54.454153,"Temperate"
"SRR3500007.SRS1434730","SRS1434730","SGRP352451","aquatic","AMPLICON",2.5,54.454153,NA,NA,487,2,54.454153,"Temperate"
"SRR3500064.SRS1434368","SRS1434368","SGRP352468","aquatic","AMPLICON",2.5,54.454153,NA,NA,496,2,54.454153,"Temperate"
"SRR3143741.SRS1274522","SRS1274522","SGRP394984","aquatic","AMPLICON",2.5,55.028389,NA,NA,496,2,55.028389,"Temperate"
"SRR3669482.SRS1505246","SRS1505246","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.1329,NA,27.6594594594595,416,3,42.1329,"Temperate"
"SRR3669543.SRS1505250","SRS1505250","SGRP2407","aquatic","AMPLICON",2.64965185185185,41.8661,NA,27.6594594594595,451,3,41.8661,"Temperate"
"SRR3669470.SRS1505243","SRS1505243","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.9997,NA,27.6594594594595,414,3,42.9997,"Temperate"
"SRR3669503.SRS1505265","SRS1505265","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.379,NA,27.6594594594595,480,3,43.379,"Temperate"
"SRR8167154.SRS4024738","SRS4024738","SGRP2407","aquatic","AMPLICON",2.64965185185185,44.4005,NA,27.6594594594595,403,3,44.4005,"Temperate"
"SRR3669484.SRS1505247","SRS1505247","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.1329,NA,27.6594594594595,428,3,42.1329,"Temperate"
"SRR3669552.SRS1505309","SRS1505309","SGRP2407","aquatic","AMPLICON",2.64965185185185,47.5792,NA,27.6594594594595,402,3,47.5792,"Temperate"
"SRR3669692.SRS1505274","SRS1505274","SGRP2407","aquatic","AMPLICON",2.64965185185185,44.4001,NA,27.6594594594595,413,3,44.4001,"Temperate"
"SRR3669483.SRS1505244","SRS1505244","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.9997,NA,27.6594594594595,407,3,42.9997,"Temperate"
"SRR3669683.SRS1505265","SRS1505265","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.379,NA,27.6594594594595,441,3,43.379,"Temperate"
"SRR3669542.SRS1505298","SRS1505298","SGRP2407","aquatic","AMPLICON",2.64965185185185,45.1579,NA,27.6594594594595,429,3,45.1579,"Temperate"
"SRR3669480.SRS1505244","SRS1505244","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.9997,NA,27.6594594594595,425,3,42.9997,"Temperate"
"SRR8167347.SRS4024831","SRS4024831","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.4813,NA,27.6594594594595,414,3,43.4813,"Temperate"
"SRR3669688.SRS1505270","SRS1505270","SGRP2407","aquatic","AMPLICON",2.64965185185185,44.0864,NA,27.6594594594595,410,3,44.0864,"Temperate"
"SRR3669518.SRS1505279","SRS1505279","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.4802,NA,27.6594594594595,418,3,43.4802,"Temperate"
"SRR3669554.SRS1505251","SRS1505251","SGRP2407","aquatic","AMPLICON",2.64965185185185,41.8661,NA,27.6594594594595,452,3,41.8661,"Temperate"
"SRR3669722.SRS1505298","SRS1505298","SGRP2407","aquatic","AMPLICON",2.64965185185185,45.1579,NA,27.6594594594595,428,3,45.1579,"Temperate"
"SRR3669495.SRS1505245","SRS1505245","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.1329,NA,27.6594594594595,425,3,42.1329,"Temperate"
"SRR3669735.SRS1505310","SRS1505310","SGRP2407","aquatic","AMPLICON",2.64965185185185,47.5792,NA,27.6594594594595,423,3,47.5792,"Temperate"
"SRR3499854.SRS1434241","SRS1434241","SGRP340238","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,480,3,54.454153,"Temperate"
"SRR3500168.SRS1434435","SRS1434435","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,474,3,54.454153,"Temperate"
"SRR3500172.SRS1434438","SRS1434438","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,418,3,54.454153,"Temperate"
"SRR3500178.SRS1434444","SRS1434444","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,604,3,54.454153,"Temperate"
"SRR3500175.SRS1434441","SRS1434441","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,643,3,54.454153,"Temperate"
"SRR3143743.SRS1274520","SRS1274520","SGRP394890","aquatic","AMPLICON",2.77777777777778,55.028389,NA,NA,398,3,55.028389,"Temperate"
"SRR3143739.SRS1274523","SRS1274523","SGRP394890","aquatic","AMPLICON",2.77777777777778,55.028389,NA,NA,518,3,55.028389,"Temperate"
"SRR3143738.SRS1274524","SRS1274524","SGRP394890","aquatic","AMPLICON",2.77777777777778,55.028389,NA,NA,499,3,55.028389,"Temperate"
"SRR3500107.SRS1434744","SRS1434744","SGRP352491","aquatic","AMPLICON",2.85714285714286,54.454153,NA,NA,421,3,54.454153,"Temperate"
"SRR3500114.SRS1434749","SRS1434749","SGRP352491","aquatic","AMPLICON",2.85714285714286,54.454153,NA,NA,580,3,54.454153,"Temperate"
"SRR3500110.SRS1434746","SRS1434746","SGRP352491","aquatic","AMPLICON",2.85714285714286,54.454153,NA,NA,415,3,54.454153,"Temperate"
