"SampleID","ComClustID","Env_cons","Temperature_C_mean","pH_mean","Richness","Temp_bin","weight"
"ERR2372867.ERS2269406","SGRP112859","soil;tundra",0.858666666666667,5.954,400,1,7
"ERR2372869.ERS2269391","SGRP112859","soil;tundra",0.858666666666667,5.954,416,1,7
"ERR2372836.ERS2269372","SGRP112859","soil;tundra",0.858666666666667,5.954,464,1,7
"ERR2372889.ERS2269432","SGRP112859","soil;tundra",0.858666666666667,5.954,413,1,7
"ERR2372925.ERS2269403","SGRP112859","soil;tundra",0.858666666666667,5.954,400,1,7
"ERR1101368.ERS945758","SGRP251567","aquatic;lake",1.18,8.18,535,1,7
"ERR1897664.ERS1628102","SGRP251708","aquatic;lake",1.23,7.58,402,1,7
"SRR5643451.SRS2250291","SGRP215285","aquatic",1.7723,7.7057,747,2,13
"SRR1980870.SRS913797","SGRP215285","aquatic",1.7723,7.7057,605,2,13
"SRR1980861.SRS913788","SGRP215285","aquatic",1.7723,7.7057,514,2,13
"SRR1980869.SRS913796","SGRP215285","aquatic",1.7723,7.7057,525,2,13
"SRR1980852.SRS913779","SGRP215285","aquatic",1.7723,7.7057,617,2,13
"SRR1980853.SRS913780","SGRP215285","aquatic",1.7723,7.7057,525,2,13
"ERR2372815.ERS2269358","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,526,2,13
"ERR2372973.ERS2269419","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,519,2,13
"ERR2372842.ERS2269439","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,556,2,13
"ERR2372896.ERS2269374","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,492,2,13
"ERR2372864.ERS2269352","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,492,2,13
"SRR10965125.SRS6061860","SGRP2696","aquatic;lake",1.93333333333333,9.925,517,2,13
"SRR10954038.SRS6052916","SGRP1216","aquatic;lake",1.99333333333333,7.67411764705882,576,2,13
"SRR10522043.SRS5719195","SGRP36337","aquatic;lake",3.00590612244898,7.97497959183674,490,3,1
"SRR5298354.SRS2006677","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,667,4,4
"SRR6074027.SRS2539534","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,928,4,4
"ERR1811812.ERS1513130","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,663,4,4
"ERR2728107.ERS2639910","SGRP70220","aquatic;lake",3.97549019607843,8.17549019607843,876,4,4
"SRR3359195.SRS1357092","SGRP295847","aquatic",4.6166052568,6.7273154491,862,5,6
"SRR3359207.SRS1384911","SGRP295847","aquatic",4.6166052568,6.7273154491,885,5,6
"SRR965827.SRS476496","SGRP295847","aquatic",4.6166052568,6.7273154491,869,5,6
"SRR965817.SRS476773","SGRP295847","aquatic",4.6166052568,6.7273154491,864,5,6
"SRR965848.SRS476491","SGRP295847","aquatic",4.6166052568,6.7273154491,839,5,6
"SRR965821.SRS476776","SGRP295847","aquatic",4.6166052568,6.7273154491,884,5,6
"DRR138674.DRS093499","SGRP33196","aquatic;river",5.5,8.53,525,6,18
"DRR138676.DRS093501","SGRP33196","aquatic;river",5.5,8.53,540,6,18
"DRR138683.DRS093508","SGRP64832","aquatic;river",5.5,8.53,558,6,18
"DRR138684.DRS093509","SGRP64832","aquatic;river",5.5,8.53,499,6,18
"DRR138682.DRS093507","SGRP64832","aquatic;river",5.5,8.53,502,6,18
"SRR7204133.SRS3328558","SGRP125491","aquatic;lake",5.645,7.38,502,6,18
"SRR7204134.SRS3328557","SGRP125491","aquatic;lake",5.645,7.38,537,6,18
"SRR10522110.SRS5719309","SGRP7863","aquatic;lake",6.35555555555556,8.16888888888889,638,6,18
"SRR1583213.SRS707198","SGRP262780","aquatic",6.39166666666667,7.91666666666667,1125,6,18
"SRR1583210.SRS707195","SGRP262780","aquatic",6.39166666666667,7.91666666666667,1155,6,18
"SRR1583227.SRS707212","SGRP262780","aquatic",6.39166666666667,7.91666666666667,709,6,18
