"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR3669484.SRS1505247","SRS1505247","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.1329,NA,27.6594594594595,428,3,"temperate",36
"SRR3669552.SRS1505309","SRS1505309","SGRP2407","aquatic","AMPLICON",2.64965185185185,47.5792,NA,27.6594594594595,402,3,"temperate",36
"SRR3669547.SRS1505303","SRS1505303","SGRP2407","aquatic","AMPLICON",2.64965185185185,46.9581,NA,27.6594594594595,397,3,"temperate",36
"SRR3669692.SRS1505274","SRS1505274","SGRP2407","aquatic","AMPLICON",2.64965185185185,44.4001,NA,27.6594594594595,413,3,"temperate",36
"SRR3669483.SRS1505244","SRS1505244","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.9997,NA,27.6594594594595,407,3,"temperate",36
"SRR3669486.SRS1505250","SRS1505250","SGRP2407","aquatic","AMPLICON",2.64965185185185,41.8661,NA,27.6594594594595,392,3,"temperate",36
"SRR3669683.SRS1505265","SRS1505265","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.379,NA,27.6594594594595,441,3,"temperate",36
"SRR3669542.SRS1505298","SRS1505298","SGRP2407","aquatic","AMPLICON",2.64965185185185,45.1579,NA,27.6594594594595,429,3,"temperate",36
"SRR3669480.SRS1505244","SRS1505244","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.9997,NA,27.6594594594595,425,3,"temperate",36
"SRR8167347.SRS4024831","SRS4024831","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.4813,NA,27.6594594594595,414,3,"temperate",36
"SRR3669688.SRS1505270","SRS1505270","SGRP2407","aquatic","AMPLICON",2.64965185185185,44.0864,NA,27.6594594594595,410,3,"temperate",36
"SRR3669518.SRS1505279","SRS1505279","SGRP2407","aquatic","AMPLICON",2.64965185185185,43.4802,NA,27.6594594594595,418,3,"temperate",36
"SRR3669554.SRS1505251","SRS1505251","SGRP2407","aquatic","AMPLICON",2.64965185185185,41.8661,NA,27.6594594594595,452,3,"temperate",36
"SRR3669722.SRS1505298","SRS1505298","SGRP2407","aquatic","AMPLICON",2.64965185185185,45.1579,NA,27.6594594594595,428,3,"temperate",36
"SRR3669495.SRS1505245","SRS1505245","SGRP2407","aquatic","AMPLICON",2.64965185185185,42.1329,NA,27.6594594594595,425,3,"temperate",36
"SRR3669735.SRS1505310","SRS1505310","SGRP2407","aquatic","AMPLICON",2.64965185185185,47.5792,NA,27.6594594594595,423,3,"temperate",36
"SRR3499854.SRS1434241","SRS1434241","SGRP340238","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,480,3,"temperate",36
"SRR3500168.SRS1434435","SRS1434435","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,474,3,"temperate",36
"SRR3500172.SRS1434438","SRS1434438","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,418,3,"temperate",36
"SRR3500178.SRS1434444","SRS1434444","SGRP352485","aquatic","AMPLICON",2.72727272727273,54.454153,NA,NA,604,3,"temperate",36
