"SampleID","ComClustID","Env_cons","Temperature_C_mean","pH_mean","Richness","Temp_bin","weight"
"ERR2372867.ERS2269406","SGRP112859","soil;tundra",0.858666666666667,5.954,400,1,16
"ERR2372834.ERS2269382","SGRP112859","soil;tundra",0.858666666666667,5.954,338,1,16
"ERR2372838.ERS2269394","SGRP112859","soil;tundra",0.858666666666667,5.954,332,1,16
"ERR2372839.ERS2269393","SGRP112859","soil;tundra",0.858666666666667,5.954,376,1,16
"ERR2372862.ERS2269404","SGRP112859","soil;tundra",0.858666666666667,5.954,349,1,16
"ERR2372920.ERS2269420","SGRP112859","soil;tundra",0.858666666666667,5.954,347,1,16
"ERR2372837.ERS2269392","SGRP112859","soil;tundra",0.858666666666667,5.954,366,1,16
"ERR2372869.ERS2269391","SGRP112859","soil;tundra",0.858666666666667,5.954,416,1,16
"ERR2372844.ERS2269434","SGRP112859","soil;tundra",0.858666666666667,5.954,334,1,16
"ERR2372902.ERS2269383","SGRP112859","soil;tundra",0.858666666666667,5.954,347,1,16
"ERR2372836.ERS2269372","SGRP112859","soil;tundra",0.858666666666667,5.954,464,1,16
"ERR2372889.ERS2269432","SGRP112859","soil;tundra",0.858666666666667,5.954,413,1,16
"ERR2372925.ERS2269403","SGRP112859","soil;tundra",0.858666666666667,5.954,400,1,16
"ERR1101270.ERS945660","SGRP251567","aquatic;lake",1.18,8.18,377,1,16
"ERR1101368.ERS945758","SGRP251567","aquatic;lake",1.18,8.18,535,1,16
"ERR1897664.ERS1628102","SGRP251708","aquatic;lake",1.23,7.58,402,1,16
"SRR5643451.SRS2250291","SGRP215285","aquatic",1.7723,7.7057,747,2,53
"SRR1980860.SRS913787","SGRP215285","aquatic",1.7723,7.7057,463,2,53
"SRR1980870.SRS913797","SGRP215285","aquatic",1.7723,7.7057,605,2,53
"SRR1980861.SRS913788","SGRP215285","aquatic",1.7723,7.7057,514,2,53
"SRR1980869.SRS913796","SGRP215285","aquatic",1.7723,7.7057,525,2,53
"SRR1980852.SRS913779","SGRP215285","aquatic",1.7723,7.7057,617,2,53
"SRR1980853.SRS913780","SGRP215285","aquatic",1.7723,7.7057,525,2,53
"ERR2372922.ERS2269424","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,466,2,53
"ERR2372828.ERS2269435","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,427,2,53
"ERR2372833.ERS2269336","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,464,2,53
"ERR2372830.ERS2269408","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,409,2,53
"ERR2372963.ERS2269313","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,466,2,53
"ERR2372948.ERS2269326","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,480,2,53
"ERR2372826.ERS2269437","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,451,2,53
"ERR2372815.ERS2269358","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,526,2,53
"ERR2372916.ERS2269422","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,465,2,53
"ERR2372870.ERS2269353","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,482,2,53
"ERR2372893.ERS2269339","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,439,2,53
"ERR2372921.ERS2269328","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,436,2,53
"ERR2372973.ERS2269419","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,519,2,53
"ERR2372940.ERS2269418","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,438,2,53
"ERR2372853.ERS2269438","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,461,2,53
"ERR2372890.ERS2269357","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,421,2,53
"ERR2372885.ERS2269385","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,468,2,53
"ERR2372819.ERS2269351","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,487,2,53
"ERR2372847.ERS2269396","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,406,2,53
"ERR2372817.ERS2269350","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,467,2,53
"ERR2372900.ERS2269341","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,458,2,53
"ERR2372818.ERS2269379","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,414,2,53
"ERR2372898.ERS2269384","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,454,2,53
"ERR2372842.ERS2269439","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,556,2,53
"ERR2372965.ERS2269417","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,412,2,53
"ERR2372935.ERS2269323","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,438,2,53
"ERR2372897.ERS2269355","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,446,2,53
"ERR2372896.ERS2269374","SGRP112857","soil;tundra",1.83666666666667,5.46373333333333,492,2,53
