"Temp_bin","N","Mean","SE","Min","Max"
0,39,621.6,24.24,476,1078
1,42,366.7,7.83,298,535
2,147,495,8.56,381,1158
3,105,407.6,7.99,339,838
4,88,522.5,11.51,411,928
5,79,691.7,29.8,364,1267
6,120,475.7,15.21,338,1235
7,107,863.5,38.63,456,1948
8,106,812.1,35.46,488,2146
9,150,2152.7,62.28,1080,6670
10,144,1472.3,61.51,660,5178
11,152,1351.3,20.96,1025,2323
12,159,1100,27.12,624,2550
13,73,656.3,44.23,394,2205
14,119,678.5,33.96,368,2056
15,142,626.3,34.98,353,2476
16,235,1828.4,24.2,1348,3678
17,141,777.3,27.1,516,2047
18,220,1330.7,42.74,634,3265
19,257,1142.9,31.72,644,3622
20,238,857.9,49.71,214,7831
21,324,611.6,17.46,258,2457
22,205,603.1,18.9,356,2013
23,204,884.6,18.57,566,2040
24,169,920.9,31.04,551,2834
25,171,686.2,26.78,311,1968
26,211,713.2,25.04,349,2009
27,256,719.6,25.96,308,2186
28,209,769,30.83,371,2197
29,211,511.9,22.51,245,1744
30,25,613.4,36.7,436,1141
