"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR4384480.SRS1734445","SRS1734445","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,319,1,64.77,"Polar_Subpolar"
"SRR4384491.SRS1734455","SRS1734455","SGRP385947","aquatic","AMPLICON",0.6925,-64.77,NA,303,1,64.77,"Polar_Subpolar"
"ERR2372839.ERS2269393","ERS2269393","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,376,1,NA,"Unknown"
"ERR2372920.ERS2269420","ERS2269420","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,347,1,NA,"Unknown"
"ERR2372837.ERS2269392","ERS2269392","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,366,1,NA,"Unknown"
"ERR2372836.ERS2269372","ERS2269372","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,464,1,NA,"Unknown"
"ERR2372902.ERS2269383","ERS2269383","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,347,1,NA,"Unknown"
"ERR2372869.ERS2269391","ERS2269391","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,416,1,NA,"Unknown"
"ERR2372889.ERS2269432","ERS2269432","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,413,1,NA,"Unknown"
"ERR2372867.ERS2269406","ERS2269406","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,400,1,NA,"Unknown"
"ERR2372844.ERS2269434","ERS2269434","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,334,1,NA,"Unknown"
"ERR2372834.ERS2269382","ERS2269382","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,338,1,NA,"Unknown"
"ERR2372925.ERS2269403","ERS2269403","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,400,1,NA,"Unknown"
"ERR2372862.ERS2269404","ERS2269404","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,349,1,NA,"Unknown"
"ERR2372838.ERS2269394","ERS2269394","SGRP112859","soil;tundra","AMPLICON",0.858666666666667,NA,5.954,332,1,NA,"Unknown"
"ERR1101270.ERS945660","ERS945660","SGRP251567","aquatic;lake","AMPLICON",1.18,48.94156,8.18,377,1,48.94156,"Temperate"
"ERR1101368.ERS945758","ERS945758","SGRP251567","aquatic;lake","AMPLICON",1.18,54.96614,8.18,535,1,54.96614,"Temperate"
"ERR1797776.ERS1505720","ERS1505720","SGRP5339","aquatic","AMPLICON",1.195,78.6594,NA,324,1,78.6594,"Polar_Subpolar"
"ERR2529221.ERS2411166","ERS2411166","SGRP5339","aquatic","AMPLICON",1.195,78.453,NA,430,1,78.453,"Polar_Subpolar"
"ERR2529222.ERS2411167","ERS2411167","SGRP5339","aquatic","AMPLICON",1.195,78.453,NA,433,1,78.453,"Polar_Subpolar"
"ERR2529220.ERS2411165","ERS2411165","SGRP5339","aquatic","AMPLICON",1.195,78.453,NA,453,1,78.453,"Polar_Subpolar"
"ERR1897664.ERS1628102","ERS1628102","SGRP251708","aquatic;lake","AMPLICON",1.23,53.1,7.58,402,1,53.1,"Temperate"
"SRR027477.SRS006003","SRS006003","SGRP303660","aquatic","AMPLICON",1.39055555555556,35.164188,NA,351,1,35.164188,"Temperate"
"SRR027464.SRS005990","SRS005990","SGRP303660","aquatic","AMPLICON",1.39055555555556,35.164188,NA,298,1,35.164188,"Temperate"
"SRR027478.SRS006004","SRS006004","SGRP303660","aquatic","AMPLICON",1.39055555555556,35.164188,NA,307,1,35.164188,"Temperate"
"SRR4384495.SRS1734460","SRS1734460","SGRP385935","aquatic","AMPLICON",1.4,-64.77,NA,312,1,64.77,"Polar_Subpolar"
"SRR4384492.SRS1734458","SRS1734458","SGRP385935","aquatic","AMPLICON",1.4,-64.77,NA,392,1,64.77,"Polar_Subpolar"
"SRR4384493.SRS1734457","SRS1734457","SGRP385935","aquatic","AMPLICON",1.4,-64.77,NA,318,1,64.77,"Polar_Subpolar"
"SRR4384494.SRS1734459","SRS1734459","SGRP385935","aquatic","AMPLICON",1.4,-64.77,NA,300,1,64.77,"Polar_Subpolar"
"SRR3500249.SRS1434651","SRS1434651","SGRP352611","aquatic","AMPLICON",1.42857142857143,NA,NA,336,1,NA,"Unknown"
"SRR3500242.SRS1434644","SRS1434644","SGRP352611","aquatic","AMPLICON",1.42857142857143,NA,NA,406,1,NA,"Unknown"
"SRR3500250.SRS1434652","SRS1434652","SGRP352611","aquatic","AMPLICON",1.42857142857143,NA,NA,345,1,NA,"Unknown"
"SRR027471.SRS005997","SRS005997","SGRP303673","aquatic","AMPLICON",1.4505,35.164188,NA,309,1,35.164188,"Temperate"
"SRR027473.SRS005999","SRS005999","SGRP303673","aquatic","AMPLICON",1.4505,35.164188,NA,370,1,35.164188,"Temperate"
"SRR027469.SRS005995","SRS005995","SGRP303673","aquatic","AMPLICON",1.4505,35.164188,NA,370,1,35.164188,"Temperate"
"SRR027470.SRS005996","SRS005996","SGRP303673","aquatic","AMPLICON",1.4505,35.164188,NA,330,1,35.164188,"Temperate"
"SRR027472.SRS005998","SRS005998","SGRP303673","aquatic","AMPLICON",1.4505,35.164188,NA,361,1,35.164188,"Temperate"
"SRR027474.SRS006000","SRS006000","SGRP303673","aquatic","AMPLICON",1.4505,35.164188,NA,351,1,35.164188,"Temperate"
"SRR4241981.SRS1690918","SRS1690918","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,640,2,NA,"Unknown"
"SRR4241971.SRS1690908","SRS1690908","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,442,2,NA,"Unknown"
"SRR4241983.SRS1690920","SRS1690920","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,733,2,NA,"Unknown"
"SRR4241973.SRS1690910","SRS1690910","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,455,2,NA,"Unknown"
"SRR4241982.SRS1690919","SRS1690919","SGRP330808","aquatic","AMPLICON",1.66666666666667,NA,NA,632,2,NA,"Unknown"
