"Temp","Fit","FitType"
12.2,488.15839666164,"Gaussian_Mean"
12.3,488.863910947232,"Gaussian_Mean"
12.4,489.542533213955,"Gaussian_Mean"
12.5,490.194148697626,"Gaussian_Mean"
12.6,490.818647100329,"Gaussian_Mean"
12.7,491.415922621522,"Gaussian_Mean"
12.8,491.985873987913,"Gaussian_Mean"
12.9,492.528404482081,"Gaussian_Mean"
13,493.043421969821,"Gaussian_Mean"
13.1,493.530838926227,"Gaussian_Mean"
13.2,493.990572460483,"Gaussian_Mean"
13.3,494.422544339348,"Gaussian_Mean"
13.4,494.826681009353,"Gaussian_Mean"
13.5,495.20291361767,"Gaussian_Mean"
13.6,495.551178031661,"Gaussian_Mean"
13.7,495.8714148571,"Gaussian_Mean"
13.8,496.163569455054,"Gaussian_Mean"
13.9,496.427591957421,"Gaussian_Mean"
14,496.663437281114,"Gaussian_Mean"
14.1,496.871065140896,"Gaussian_Mean"
14.2,497.05044006084,"Gaussian_Mean"
14.3,497.201531384442,"Gaussian_Mean"
14.4,497.324313283343,"Gaussian_Mean"
14.5,497.418764764695,"Gaussian_Mean"
14.6,497.484869677139,"Gaussian_Mean"
14.7,497.52261671541,"Gaussian_Mean"
14.8,497.531999423558,"Gaussian_Mean"
14.9,497.513016196791,"Gaussian_Mean"
15,497.465670281928,"Gaussian_Mean"
15.1,497.389969776477,"Gaussian_Mean"
15.2,497.285927626325,"Gaussian_Mean"
15.3,497.153561622049,"Gaussian_Mean"
15.4,496.992894393848,"Gaussian_Mean"
15.5,496.803953405089,"Gaussian_Mean"
15.6,496.586770944491,"Gaussian_Mean"
15.7,496.34138411692,"Gaussian_Mean"
15.8,496.067834832832,"Gaussian_Mean"
15.9,495.766169796338,"Gaussian_Mean"
16,495.436440491914,"Gaussian_Mean"
16.1,495.078703169762,"Gaussian_Mean"
16.2,494.693018829811,"Gaussian_Mean"
16.3,494.279453204385,"Gaussian_Mean"
16.4,493.83807673953,"Gaussian_Mean"
16.5,493.368964575019,"Gaussian_Mean"
