"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Depth_metres_mean","Richness","Temp_bin","Zone","n_bin"
"SRR8479491.SRS4284149","SRS4284149","SGRP2099","soil","AMPLICON",20.3125,38.872,6.96923076923077,0.0439583333333333,140,20,"temperate",29
"SRR6145226.SRS2570922","SRS2570922","SGRP2099","soil","AMPLICON",20.3125,31.048,6.96923076923077,0.0439583333333333,138,20,"temperate",29
"SRR8479533.SRS4284107","SRS4284107","SGRP2099","soil","AMPLICON",20.3125,38.872,6.96923076923077,0.0439583333333333,122,20,"temperate",29
"SRR8479517.SRS4284123","SRS4284123","SGRP2099","soil","AMPLICON",20.3125,38.871,6.96923076923077,0.0439583333333333,126,20,"temperate",29
"SRR8479539.SRS4284101","SRS4284101","SGRP2099","soil","AMPLICON",20.3125,38.871,6.96923076923077,0.0439583333333333,122,20,"temperate",29
"SRR8479524.SRS4284117","SRS4284117","SGRP2099","soil","AMPLICON",20.3125,38.87,6.96923076923077,0.0439583333333333,108,20,"temperate",29
"SRR6149652.SRS2574868","SRS2574868","SGRP2099","soil","AMPLICON",20.3125,31.048,6.96923076923077,0.0439583333333333,112,20,"temperate",29
"SRR6145148.SRS2570922","SRS2570922","SGRP2099","soil","AMPLICON",20.3125,31.048,6.96923076923077,0.0439583333333333,142,20,"temperate",29
"SRR8479493.SRS4284147","SRS4284147","SGRP2099","soil","AMPLICON",20.3125,38.871,6.96923076923077,0.0439583333333333,110,20,"temperate",29
"SRR8479503.SRS4284137","SRS4284137","SGRP2117","soil","AMPLICON",22.1428571428571,38.872,6.86333333333333,0.0546511627906976,129,22,"temperate",10
"SRR8479500.SRS4284139","SRS4284139","SGRP2117","soil","AMPLICON",22.1428571428571,38.872,6.86333333333333,0.0546511627906976,120,22,"temperate",10
"SRR8479555.SRS4284085","SRS4284085","SGRP2117","soil","AMPLICON",22.1428571428571,38.869,6.86333333333333,0.0546511627906976,112,22,"temperate",10
"SRR8479490.SRS4284150","SRS4284150","SGRP2117","soil","AMPLICON",22.1428571428571,38.871,6.86333333333333,0.0546511627906976,141,22,"temperate",10
"SRR8479548.SRS4284092","SRS4284092","SGRP2117","soil","AMPLICON",22.1428571428571,38.871,6.86333333333333,0.0546511627906976,117,22,"temperate",10
"SRR3946015.SRS1580639","SRS1580639","SGRP2117","soil","AMPLICON",22.1428571428571,37.91736181,6.86333333333333,0.0546511627906976,129,22,"temperate",10
"SRR8479542.SRS4284098","SRS4284098","SGRP2117","soil","AMPLICON",22.1428571428571,38.871,6.86333333333333,0.0546511627906976,112,22,"temperate",10
"SRR8479501.SRS4284141","SRS4284141","SGRP2117","soil","AMPLICON",22.1428571428571,38.872,6.86333333333333,0.0546511627906976,113,22,"temperate",10
"SRR8479553.SRS4284087","SRS4284087","SGRP2117","soil","AMPLICON",22.1428571428571,38.869,6.86333333333333,0.0546511627906976,112,22,"temperate",10
"SRR8479518.SRS4284122","SRS4284122","SGRP2117","soil","AMPLICON",22.1428571428571,38.869,6.86333333333333,0.0546511627906976,112,22,"temperate",10
"SRR3103048.SRS1249178","SRS1249178","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,761,24,"temperate",7
"SRR3101108.SRS1248033","SRS1248033","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,807,24,"temperate",7
"SRR3101111.SRS1248036","SRS1248036","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,826,24,"temperate",7
"SRR3101146.SRS1248042","SRS1248042","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,751,24,"temperate",7
"SRR3101131.SRS1248040","SRS1248040","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,749,24,"temperate",7
"SRR3101115.SRS1248037","SRS1248037","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,746,24,"temperate",7
"SRR3101029.SRS1248007","SRS1248007","SGRP354092","soil","AMPLICON",24.5,47.43,NA,NA,746,24,"temperate",7
"SRR8467056.SRS4274036","SRS4274036","SGRP20648","soil","AMPLICON",25,44.53,NA,NA,100,25,"temperate",3
"SRR8467054.SRS4274038","SRS4274038","SGRP20648","soil","AMPLICON",25,44.53,NA,NA,113,25,"temperate",3
"SRR6357299.SRS2742317","SRS2742317","SGRP42439","soil","AMPLICON",25,45.42,NA,NA,121,25,"temperate",3
"ERR538495.ERS483498","ERS483498","SGRP12646","soil","AMPLICON",25.9,40.76726,6.93,0.0333333333333333,242,26,"temperate",1
"SRR5328694.SRS2037626","SRS2037626","SGRP9686","soil","AMPLICON",27.4333333333333,50.88,NA,8.2001,32,27,"temperate",1
"SRR3647150.SRS1491305","SRS1491305","SGRP9689","soil","AMPLICON",28.2,37.02,NA,6.86567164179105,64,28,"temperate",1
"SRR3453510.SRS1413853","SRS1413853","SGRP12623","soil","AMPLICON",28.9,-34.04319,NA,3.76428571428571,608,29,"temperate",2
"ERR1872107.ERS1581671","ERS1581671","SGRP12623","soil","AMPLICON",28.9,58.35081,NA,3.76428571428571,369,29,"temperate",2
