"SampleID","BioSampleID","ComClustID","Env_cons","SeqTech_cons","Temperature_C_mean","Latitude","pH","Richness","Temp_bin","AbsLatitude","LatRegion"
"SRR4384504.SRS1734469","SRS1734469","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,216,0,64.77,"Polar_Subpolar"
"SRR4384525.SRS1734491","SRS1734491","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,302,0,64.77,"Polar_Subpolar"
"SRR4384505.SRS1734470","SRS1734470","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,200,0,64.77,"Polar_Subpolar"
"SRR4384526.SRS1734492","SRS1734492","SGRP385960","aquatic","AMPLICON",0.214285714285714,-64.77,NA,395,0,64.77,"Polar_Subpolar"
"SRR027401.SRS005883","SRS005883","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,76.999,NA,188,0,76.999,"Polar_Subpolar"
"SRR027404.SRS005886","SRS005886","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,73.967,NA,205,0,73.967,"Polar_Subpolar"
"SRR027396.SRS005878","SRS005878","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,68.8308,NA,170,0,68.8308,"Polar_Subpolar"
"SRR027403.SRS005885","SRS005885","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,75.8447,NA,207,0,75.8447,"Polar_Subpolar"
"SRR027397.SRS005879","SRS005879","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,71.9647,NA,214,0,71.9647,"Polar_Subpolar"
"SRR027402.SRS005884","SRS005884","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,76.999,NA,202,0,76.999,"Polar_Subpolar"
"SRR027399.SRS005881","SRS005881","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,79.9915,NA,176,0,79.9915,"Polar_Subpolar"
"SRR027405.SRS005887","SRS005887","SGRP303650","aquatic;marine","AMPLICON",0.296922222222222,73.967,NA,164,0,73.967,"Polar_Subpolar"
