"Temp_bin","N","Mean","SE","Min","Max"
0,23,701,31.64,581,1078
1,26,395.2,8.48,347,535
2,89,546,11.07,453,1158
3,62,443.8,11.42,373,838
4,53,579.4,14.47,457,928
5,48,867.8,26.44,623,1267
6,72,548.4,21.37,403,1235
7,65,1095,43.72,614,1948
8,64,994.1,46.21,580,2146
9,90,2645.8,45.22,2595,6670
10,87,1839.9,79.08,1153,5178
11,91,1507.2,23.14,1234,2323
12,96,1292.3,31.27,944,2550
13,44,803.2,64.5,489,2205
14,71,843.9,47.75,495,2056
15,86,778.4,51.53,446,2476
16,141,2054.8,26.02,1642,3678
17,85,925.2,37.01,599,2047
18,132,1699,49.42,1003,3265
19,154,1400.6,41.26,884,3622
20,143,1212.5,67.78,566,7831
21,195,776.1,21.96,465,2457
22,124,734.5,24.88,465,2013
23,123,1038.2,21.07,768,2040
24,102,1114.4,41.33,700,2834
25,103,876.1,32.78,528,1968
26,127,915.9,30.14,488,2009
27,154,941.3,32.42,476,2186
28,125,1000.1,39.84,509,2197
29,126,663.9,31.03,339,1744
30,15,706.3,47.53,523,1141
