Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,Tpk,Ed,B0,E
K_Adamberg_Streptococcus_salivarius_growth,growth,,-0.8931116127270528,-11.41330746684762,1.014818132798692,7.420706929376921e-6,48.30927279886676,3.32324101910511,-0.43734110136680876,1.014818132798692
K_Adamberg_Lactococcus_lactis_growth,growth,,-0.7581096792893248,-10.651270927282294,0.6496974892993036,3.137472783728902e-5,39.89511124123825,4.407772209810378,0.6064124120019525,0.6496974892993036
K_Adamberg_Lactobacillus_acidophilus_growth,growth,,-0.3778003109192164,-10.351649157138327,0.5054008373854083,2.0292079488226864e-5,45.35757518699658,5.443499176879834,0.290930906053972,0.5054008373854083
K_Adamberg_Lactobacillus_paracasei_growth,growth,,-0.8618932211588085,-11.809174972403321,0.9471658491435332,7.297746866309464e-6,34.771496269799066,2.082624031153093,-0.44943751100542645,0.9471658491435332
Bowman_1998_C_demingiae,growth,,-0.7268897218129572,-9.538069530031247,0.5815663540164007,6.46e-5,14.562901002285566,4.42095077988923,1.1292646970203797,0.5815663540164007
Bowman_1998_C_hornerae,growth,,-0.5110006533423994,-9.954964128312719,0.5200345661576989,4.95e-5,15.186967689933873,2.838625482162618,0.9365163586917147,0.5200345661576989
Bowman_1998_C_psychrerythraea,growth,,-0.42893895678548805,-9.764228658018725,0.47193983777565046,5.992027253221191e-5,15.91119117706639,4.778632491731284,1.0748232593354208,0.47193983777565046
Bowman_1998_C_psychrotropica,growth,,-0.4701428153155048,-9.490575152636264,0.463962861395277,7.708218803793631e-5,21.53364102242967,3.596590690292407,1.2571578699618469,0.463962861395277
 Bowman_Psychroflexus_torquis,growth,,-0.5257525969845233,-11.191449289733045,0.5837988580243152,1.5e-5,16.78911820618186,2.2797635950263224,0.07216439478826238,0.5837988580243152
Choma_B_cereus,growth,,-0.9172808484784484,-10.340343193170742,0.962621226470854,3.293387272574948e-5,34.0335996,1.9541969835799111,0.6415237213605934,0.962621226470854
corroler_1996_E_faecalis,growth,,-1.1909235172841086,-11.180695003678256,0.8318197512351675,2.3903090695354487e-5,40.42637986130883,2.668613355339929,0.40949897806506397,0.8318197512351675
Duffaud_1998_T_celer,growth,,0,0,0.7466431465974827,6.287838163649755e-7,87.92137736409593,2.7765390322094032,-2.2242493506940906,0.7466431465974827
Ferreiria_1997_AG3a,growth,,-0.6876426513353864,-11.555670752372242,0.7086040856073125,9.080860296325647e-6,51.54447824352713,3.6439814847791525,-0.29117750551221216,0.7086040856073125
Ferreiria_1997_Alt1,growth,,-0.4684002736748277,-10.74318144587555,0.4737618820731014,2.1339300361546548e-5,52.5375,4.8227213618662885,0.32736043902531187,0.4737618820731014
Flores_2008_Sulfurihydrogenibium_kristjanssoni,growth,,-0.6549244480440846,-13.625940775602848,0.5397335164982026,2.455489786743528e-6,73.0489,5.15097791709731,-1.2380031370476576,0.5397335164982026
Franzmann_1997_M_frigidum,growth,,-1.2882564286280858,-12.79707189255706,1.0834281408251336,2.5243768487931877e-6,14.642419162093702,3.645129562724872,-1.217972620544365,1.0834281408251336
Hallberg_1994_T_Caldus,growth,,0,0,0.4647455677637161,9.756544678853806e-6,51.03901657467577,5.87193950719978,-0.23921935793373147,0.4647455677637161
Harris_1984_FR4,growth,,-0.7031093444019292,-12.430574364768159,0.3420440116168495,2.2498800270471364e-5,59.87163951554512,7.8527785846388705,0.36566626122528084,0.3420440116168495
Kimble_1995_H_mobilis,growth,,0,0,1.3436255021006822,6.21477239760436e-7,40.21767835688448,5.506974740211288,-2.2327111491276086,1.3436255021006822
Kimble_1995_H_modesticaldum,growth,,-1.7273478746114894,-17.409212642472493,0.6306054008074042,2.7760237191544284e-6,54.831648224686056,9.615829463822672,-1.14917808179176,0.6306054008074042
Kotelnikova_1998_M_subterraneum,growth,,-0.3446009930415756,-11.260070651502557,0.42750412540182725,1.2356924729633387e-5,40.00684560155292,2.023587094605553,-0.06816334604307386,0.42750412540182725
Li1994_m_C_themoalcaliphilum,growth,,-1.297501692395046,-13.07348054996828,0.7966877703631472,1.4724548493580846e-5,51.82740925790398,6.741252995572647,0.0587464249683754,0.7966877703631472
Mannisto_2002_K104,growth,,-0.3809825029763317,-12.888572790847473,0.45057457103491133,2.389282441820949e-6,29.69943172440234,7.630330215009254,-1.2577912480894582,0.45057457103491133
Mannisto_2002_K112,growth,,-0.7857956151095146,-13.363259945937585,0.6787795458181002,1.8030505423333984e-6,27.82671796227512,2.592112947273477,-1.461595445513806,0.6787795458181002
Mannisto_2002_K13,growth,,-0.7510203386196976,-13.738331832595906,0.6502831092177752,1.2306663232478629e-6,29.71605725194329,4.389826436419007,-1.738093262258292,0.6502831092177752
Mannisto_2002_k44,growth,,-0.910598316722296,-13.962731756329054,1.1656163190553326,9.611237936776664e-7,20.956596358838517,1.8717626435426062,-1.9170617978377156,1.1656163190553326
Mannisto_2002_K6,growth,,-0.7155077663134307,-14.110539096003167,0.6658149856850675,8.505628346948454e-7,29.982119100384995,4.499992706516154,-2.0055332635571093,0.6658149856850675
Mannisto_2002_K8,growth,,-1.0601031040473499,-13.934754074884305,1.1940446737558668,1.035494461510475e-6,24.467071951452276,2.122694319279185,-1.8631042617046194,1.1940446737558668
Mannisto_2002_MT1,growth,,-0.3727699961763904,-13.36996121564657,0.40413927859997634,1.5656076902900622e-6,27.443618628931695,3.854896850323754,-1.563822871152321,0.40413927859997634
Melamud_et_al_2001_S_sibiricus,growth,,-0.613139789713103,-12.208582647625704,0.6709084865531972,3.877692859357853e-6,57.28310461184887,6.573451490690879,-0.9072156570655685,0.6709084865531972
Mickucki_2003,growth,,-1.0135300621042072,-14.12033045416856,0.8516995846445162,1.1644489443141426e-6,45.043348794041755,4.127847959427078,-1.7781338780441156,0.8516995846445162
Mohr_1980_B_megaterium,growth,,-0.6862000924179666,-10.155022627588155,0.9028093747493884,2.6534971601203084e-5,39.52644062443745,1.7859987884898783,0.4851207700582725,0.9028093747493884
Mohr_1980_B_subtilis,growth,,-0.970000451415621,-11.024233652339705,0.8087855903037114,2.6025091902671114e-5,40.10016381273985,2.3407284683587726,0.47107421077174505,0.8087855903037114
Mohr_1980_E_coli,growth,,-0.7050351746209264,-10.227337725444173,0.44267885209100793,7.339962646424474e-5,45.66598457735952,5.470211684276097,1.2217175846885175,0.44267885209100793
Mohr_1980_p_acruginosa,growth,,-0.49525174325854776,-9.875575689510427,0.3939596437957321,7.078439121229678e-5,44.16650460231138,8.520063943861533,1.1954520790596574,0.3939596437957321
Mohr_1980_P_fluorescens,growth,,-0.7395993830972665,-10.46252783361252,0.6539091524329771,3.541984869096595e-5,41.76089994616465,4.8124234739531335,0.6942067639620397,0.6539091524329771
Mohr_1980_S_marcescens,growth,,-0.7347235487880698,-10.010461380008637,0.5851156235168732,6.511464978785895e-5,37.95312449098502,5.599561786245792,1.1350094259768795,0.5851156235168732
Mohr_1980_v_marinus_ATCC15382,growth,,-1.2551636756098545,-10.75660426209629,1.1284748250618197,2.517240931279385e-5,24.73513772861256,4.654876960095903,0.4469572107366011,1.1284748250618197
